code	no_of_companies	shareholder_Name	shareholder_Country
EC1790340481001	0	Mistral Inversiones Y Titulos C Ltda, Mr Esteban Eduardo Cadena Naranjo, Mr Julio Andres Moreno Mogollon, Mr Julio Marcelo Moreno Montiel	EC, EC, EC, EC
EC0190086003001	0	Mr Abelardo Becerra Plaza Miguel, Mr Cesar Miguel Becerra Cuesta, Mr Edward Abelardo Becerra Calderon	EC, EC, EC
EC0990331928001	4	Mr Carlos Enrique Iturralde Centeno, Mrs Ariana Maria Alvear Gilbert, Mrs Fabiana Maria Alvear Gilbert, Mrs Maria Delia Alvear Gilbert, Mrs Monica Maria Alvear Amaya, Shoumen Investments Sl.	EC, EC, EC, EC, EC, ES
EC1190049406001	0		
EC0990839557001	2	Antar Cinco Cero Seis Sociedad Anonima, Mr Carlos Eduardo Cucalon Aranda, Mrs Vicenta Margarita Bravo Pisco	CR, EC, EC
EC1791301692001	16	Bmi Ficial Group, Inc., Business Mens Insurance Corp	US, US
EC1790427692001	2	Mr Raul Aragundi Uquillas Elger, Mrs Maria Alejandra Aragundi Contreras	EC, EC
EC1792022169001	2	Automotores Y Anexos S.A., Mr Daniel Acosta Toral, Mr Javier Acosta Toral, Mr Juan Patricio Acosta Toral, Mr Rafael Arteaga Valdiviezo Ferdo, Mrs Maria Alexandra Arteaga Leon	EC, EC, EC, EC, EC, EC
EC1790646483001	2	Atlantis Business International Llc, Mr Francisco Isidoro Pinto Cordovez	US, EC
EC1790268594001	120	Cardno Holdings Pty. Ltd., Cardno International Pty Ltd, Cardno Limited	AU, AU, AU
EC1790143007001	3	Brito-Vaca Cia. Ltda., Delcorp Sa, Moderna Alimentos S.A., Molinos Poultier Sa	EC, EC, EC, EC
EC54342	0		
EC1790004392001	2	Mr Daniela Maria Del Carmen Moeller Flores, Mr Willy Hermann Moeller Flores, Spatz Moeller Hanns Udo Leonhard Hrdrs	EC, EC, EC
EC0991363041001	2	Doan Ngoc Quy, Mr Binh Vinh Lam Huynh	US, US
EC1791269489001	0	Mr Diego Coronel Urbina, Mr Fausto Pacifico Moncayo Montalvo, Mrs Carmen Alicia Moncayo Montalvo, Mrs Maria Alicia Montalvo Montalvo, Mrs Maria Valeria Moncayo Montalvo	EC, EC, EC, EC, EC
EC0991295542001	0	Buffettinvest S.A., Inmobiliaria Santisabela S.A., Invercash S.A.	EC, EC, EC
EC20748	0		
EC1790266443001	0		
EC0992277874001	0		
EC0990135630001	2	Calbaq International S.A., Mr Boris Andres Jarrin Stagg	PA, EC
EC30206LE	0		
EC0991321764001	357	KãœãžãœâHne + Nagel International Ag, KãœãžãœâHne + Nagel Management Ag	CH, CH
EC0991321489001	0		
EC1792107423001	0	Mr Amilcar Vonn Paredes Garcia, Mr Galo Patricio Mancheno Villacreses, Mr Telmo Nicanor Rodriguez Gonzalez, Mrs Fabiola Tarcila Villacreses Salinas, Rodrigo Salomon Moya Vaca	EC, EC, EC, EC, EC
EC0990856583001	2	Grupo Crystal Chemical Cryschem S.A., Rilmi Sa	EC, CR
EC0991274545001	0		
EC1792132525001	0	Mrs Amalia Laura Simona Ulici, Mrs Angela Nicoleta Ulici, Mrs Erika Monica Zoldan Marcovich	RO, RO, EC
EC1791048814001	2	Ecuatoriana De Servicios Inmobiliaria Y Construcciones Eseico S.A., Mr Edgar Roman Salas Leon, Mr Juan Carlos Farto Ribadeneira, Mr Ramiro Leonardo Galarza Andrade	EC, EC, EC, EC
EC1792007208001	0	Invesplan Lp, Mr Santiago Molina Rojas Franklin	NZ, EC
EC53516	0		
EC20749	0		
EC0992346701001	0		
EC1790580113001	0	Hotel Investment Llc, Ifecor S.A., Nig- Nova Industrial Group Llc	US, UY, US
EC0990085838001	2	Mr Luis Adolfo Noboa Naranjo, Mrs Isabel Maria Noboa Ponton, Mrs Maria Elena Noboa Ponton, Nitrang S.A. Nitrangsa	EC, EC, EC, EC
EC1890138507001	2	Mr Enrique Corrales Bastidas Edgar, Mr Her Bolivar Corrales Bastidas, Mr Hugo Marcelo Villarroel Bastidas, Mr Javier Corrales Bastidas Segundo, Mr Jose Olmedo Proano Moreno, Mr Llerena Martinez Marcelo Carlo Magno, Mr Rosendo Corrales Bastidas Cristobal, Mrs Gloria Angelica Corrales Bastidas, Mrs Maria Avelina Bastidas Herrera, Mrs Rosario Corrales Bastidas	EC, EC, EC, EC, EC, EC, EC, EC, EC, EC
EC0992701374001	3	Alliance Microfice As, Misjonsalliansen	NO, NO
ECFEI1021167	0	Hannover RãœãžãœâCk Se	DE
EC1790099938001	2	Apple Holdings Ltd, Asesora Panamericana S.A. Aspanam	, EC
EC0990381011001	0	Mr Carlos Xavier Gomez Valdivieso, Mrs Cecilia Elizabeth Castillo Navas De Gomez	EC, EC
EC0990209898001	2	Hakkavi Sa, Zapatier Gina Maria	EC, SC
EC53501	0		
EC0990000018001	3	Mr Hugh Richard Mac Dougall Thomas, Mr Neil Roderick Macdougall Thomas, Mrs Ann Thomas Griffiths	EC, EC, EC
EC0992247932001	178	Inversiones San Marco S.A., Inversiones San Marcos Limitada, Saam S A	CL, CL, CL
EC17464	0		
EC0992201029001	2	Compania Naviera Agmaresa Sa, Transtrading Oversead Ltd	EC, BS
EC1790038092001	0	Mr Eugenio Anker Rothschild Esteban, Mr Ricardo Anker Cardenas Andres, Mr Roberto Felipe Anker Cardenas, Mrs Ana Elvira Engel Monath, Mrs Gabriela Silvia Anker Cardenas	EC, EC, EC, EC, EC
EC0990035113001	0	Mr Alejandro Luis Goldbaum Allen, Mr Federico Luis Goldbaum Smith, Mrs Andrea Goldbaum Smith, Mrs Gabriela Goldbaum Smith	EC, EC, EC, EC
EC53515	0		
EC0992233222001	2	Inmobiliaria Inmosirena S.A, Tb Holding S.A. Tbholding	EC, EC
EC1791860829001	0	Dueãœãžãœã“As Cedeãœãžãœã“O Jose Elenio, Mr Diego Ferdo Duenas Gutierrez, Mr Jose Eduardo Duenas Gutierrez, Mrs Gisella Sofia Duenas Gutierrez, Mrs Virginia Duenas Gutierrez Thally, Mrs Virginia Guadalupe Gutierrez Ortiz	EC, EC, EC, EC, EC, EC
EC20736	0		
EC1790381595001	2	Administracion Y Negocios Realbusiness S.A., Clasahold S.A., Clasecuador Sa, Fondo Colectivo De Inversion Fondo Pais Ecuador	EC, EC, EC, EC
EC0990779295001	2	Mr Vinicio Alvarado Espinel Roldan, Mrs Daisy Tula Espinel Alvarez	EC, EC
EC0991448551001	2	Frulacsa S.A., Mr Denis Ivan Ramirez Moreira, Mr Pedro Washington Parrales Reyes, Mr Victor David Rodriguez Parrales, Mrs Maria Del Rosario Ortega Gonzalez	EC, EC, EC, EC, EC
EC17370	0	Cassa Padana Banca Di Credito Cooperativo Societa Cooperativa, Cassa Rurale Di Bolzano, Cooperativa De Ahorro Y Credito Ferdo Daquilema, Fondazione Internazionale Tertio Milenio - Onlus, Fondo Ecuatoriano Populorum Progressio, Fundacion Central Ecuatoriana Servicios Agricolas, Il Canale - Societa' Cooperativa Di Solidarieta' Per Lo Sviluppo	IT, IT, EC, EC, EC, IT
EC0990734011001	2	Sg Expeditions Sagl, Silversea Cruises (Uk) Limited	CH, GB
EC0992429364001	2	Hoi Kao Hang Ku, Hoi-Peng Hang Ku	PT, PT
EC1090083631001	2	Mr Francisco Javier Rivadeneira Serrano, Mrs Lourdes Victoria Lopez Zambrano De, Universal Compania De Reaseguros Sa	EC, EC
EC1792267854001	27	Lex Galapagos Partners I Llc, Lex Galapagos Partners Ii Llc	US, US
EC0990281866001	3	Industrias Cosenco S.A., Mr Luigi Sensi-Contugi Navone	EC, EC
EC53517	0		
EC53518	0		
EC1792055709001	2	Mr Juan Carlos Galarza Davila, Mrs Ana Cristina Palacios Galarza	EC, EC
EC0991131027001	0	Mr Hugo Ruben Poveda Camacho, Mr Victor Hugo Poveda Soria, Mr Victor Xavier Poveda Camacho, Mrs Cecilia Poveda Camacho Grace, Mrs Gina Patricia Poveda Camacho, Mrs Maria Elena Poveda Camacho	EC, EC, EC, EC, EC, EC
EC0992835745001	0		
EC1791714601001	4	Mr William Wallace Phillips Cooper, Urazul S.A.	EC, UY
EC0990013438001	2	Inmobiliaria Polisan S.A., Mr Sanchez Arosemena Angel Polibio	EC, EC
EC0190316815001	14	Alcazarhold S. A., Coronel Sarmiento Vicente Deifilio, Ferle S. A., Holding In Ferle Holferle S.A., Vapcorporacion Cia. Ltda., Vazpro S. A.	EC, EC, EC, EC, EC, EC
EC53519	0		
EC1790462676001	0		
EC0992231467001	0	Mr Luis Horacio Regalado Briones, Mrs Agustina Celeste Landazuri Sampedro	EC, EC
EC1790864316001	2	Astilleros Navales Del Ecuador- Astinave, Direcciãœãžãœã•N De Aviaciãœãžãœã•N Civil Dac, Fideicomiso Acciones Banco Rumiãœãžãœã“Ahui, Instituto De Seguridad Social De Las Fuerzas Armadas	EC, EC, EC
EC0990886326001	0		
EC0791725828001	2	Mr Julian Diaz Diaz, Teapott S.A.	CO, EC
EC1391738986001	2	Banco Del Instituto Ecuatoriano De Seguridad Social, Berona Energetica S.L., Instituto De Seguridad Social De La Policãœãžã¥ÂA Nacional Isspol, Retos Energeticos Sl	EC, ES, ES
EC1790004147001	2	Mr Henry Victor Horvath Carrera Andrade, Mr Patricio Alexander Aguiar Falconi, Mr Ronny Ernesto Horvath Abrahamson	EC, EC, EC
EC0992734051001	0	Actividades Agricolas S.A.(Agrisa)	EC
EC1790883795001	2	Mr Abraham Friedman Pasternak, Mr Daniel Friedman Offerman Patricio, Mr Gabriele Antonie Offermann Koch, Mr Hector Ferdo Chaves Cevallos, Mr Marco Morejon Herdez, Mr Mauricio Friedman Offermann, Mr Re Ortiz Anda Galo, Mrs Ingrid Ortega Blanco, Valecillos Asuaje Yoceli Yamilca	EC, EC, DE, EC, EC, EC, EC, CU, VE
EC1790993094001	0		
EC1791430395001	56	Grupo Bolivar S.A, Multinversiones Bolivar S A S, Riesgo E Inversiones Bolivar S A S, Seguros Comerciales Bolivar Sa	CO, CO, CO, CO
EC0190392287001	0	Mr Carlos David Morejon Manchado, Mr Romulo Augusto Andrade Pozo	EC, EC
EC1791288777001	2	Almara Corp. S.A., Espinoza Romero Ipatia Nardelia	EC, EC
EC1792111382001	2	Illimani S.A., Mr Arturo Ribadeneira Troya Manuel	EC, EC
EC1792043034001	2	Mr Edwin Guillermo Castro Palacios, Mr Guillermo Avalos Quevedo Angel	EC, EC
EC1791863526001	1217	Interconexion Electrica S.A. E.S.P., Internexa Peru Sa, Internexa S A	CO, PE, CO
EC0992125985001	0	Mr Antonio Jose Susa Sotomayor, Mr Joan Manuel Susa Gomez, Mr Jorge Luis Susa Gomez, Mr Jorge Luis Susa Talenti	EC, EC, EC, EC
EC1890135001001	0	Esteban Miãœãžãœã“O Cuesta, Mr Enrique Mino Cuesta, Mr Jose Mino Cuesta, Mrs Carmen Callejas Vascones, Vulcatech S.A.	EC, EC, EC, EC, EC
EC0992473274001	2	Mr Johnny Miguel Gomez Salazar, Tripopet Llc	EC, US
EC1790659720001	2	Avila Rivas Darioandres, Cobis Trust, Moss Howardrichard	EC, US, US
EC20734	0		
EC2190000349001	5	Mr Adolfo Humberto Cruz Bernal, Mr Edgar Patricio Pinos Novillo, Mr Jorge Edmundo Pinos Cordero, Mr Ricardo Ospina Rodriguez	CO, EC, EC, CO
EC1791774582001	0	Jimenez Palmay Betty Germania, Mr Jaime Patricio Jimenez Palmay, Mrs Emma Yolanda Palmay Abata, Mrs Julia Elizabeth Jimenez Palmay, Mrs Marianela Del Pilar Jimenez Palmay	EC, EC, EC, EC, EC
EC0992540591001	2	Eskenazi Mekler Jack Olter, Mr Carlos Diego Ferdo Jacome Merino, Mr Jorge Mario Plata Diaz, Mr Victor Alejandro Eskenazi Isjaqui, Mrs Lia Marianella Mantilla Quito, Mrs Maria Del Carmen Moreano Barragan	AR, EC, EC, AR, EC, EC
EC1790221806001	0	Amainver Amazoin Amazonegos, Baloru Sa, Detopacio S.A., Eni Ecuador S.A., Ficiamiento Y Construcciones Cia Ltda, Hierro Digard Luis Bolivar, Ingenieria Y Comercio S.A. Inco, Inversiones Dogo Dogosa Sa, Jaramillo Portilla Wilson, Jersey Private Bank, Lakeking Holding Inc., Monteros De La Guerra Anibal Neptali, Moreno Huras Fausto Rodrigo, Mr Abelardo Sanchez Dominguez Angel, Mr Alberto Federico Maspons Guzman, Mr Alfredo Anibal Abedrabbo Abedrabbo, Mr Alfredo Aspiazu Seminario Ferdo, Mr Alfredo Daniel Mucarsel Vasconez, Mr Alfredo Manuel Real Echanique, Mr Antonio Xavier Bejarano Trujillo, Mr Arturo Oswaldo Sandoval Montesdeoca, Mr Augusto Palacios, Mr Bertha America Freire Egas, Mr Camilo Jervis Camacho, Mr Carlos Alfredo Anchaluisa Quisaguano, Mr Carlos Emilio Gangotena Moran, Mr Carlos Enrique Lopez Ramirez, Mr Carlos Ernesto Viteri Salazar, Mr Carlos Her Mosquera Pesantes, Mr Carlos Jose Heladio Vergara Jaramillo, Mr Carlos Leonardo Francisco De La Torre Reyes, Mr Cesar Augusto Robayo Zapata, Mr Cesar Eduardo Valdiviezo Chiriboga, Mr Cesar Vicente Calderon Moya, Mr Diego Ferdo Lavalle Nunez, Mr Edgar Narvaez Pazmino, Mr Eduardo Coronel Robles Xavier, Mr Eduardo Falconi Puig Miguel Angel, Mr Eduardo Santos Campozano, Mr Enrique Alejandro Arosemena Baquerizo, Mr Enrique Cadena Suasnavas Manuel, Mr Enrique Jose Jacinto Garaicoa Romoleroux, Mr Enrique Kay Gallegos Arends, Mr Enrique Moreno Huras Telmo, Mr Ernesto Antonio Salgado Burbano, Mr Ernesto Jarrin Chiriboga Santiago, Mr Eusebio Roldos Aguilera Leon, Mr Federico Jose Chiriboga Vasconez, Mr Fidel Humberto Egas Grijalva, Mr Filemon Chiriboga Toledo Gabriel, Mr Flor Nestor Luis Oliverio Vasconez, Mr Francisco Alejandro Sanchez Orellana, Mr Francisco Bolivar Paredes Benitez, Mr Francisco Jose David Paredes Muirragui, Mr Francisco Parra Gil, Mr Francisco Tomas Arroba Munoz, Mr Genaro Ortiz Duran Rene, Mr Gerardo Vinicio Salvador Molina, Mr Godofredo Ribadeneira Ocana Gualberto, Mr Gonzalo Eduardo Sanchez Gonzalez, Mr Gonzalo Ivan Flores Rubio, Mr Guadalupe Del Carmen Ferdez Silva Rosa, Mr Guido Ferdo Sosa Villacres, Mr Guillermo Gabriel Dahik Muga, Mr Gustavo Adolfo Ernesto Montalvo Chavez, Mr Gustavo Francisco Arellano Mora, Mr Gustavo Jhonny Zapata Ontaneda, Mr Hector Enrique Montenegro Luna, Mr Her Ariza Bustos Nelo, Mr Her Patricio Ariza Lopez, Mr Humberto Alfonso Solorzano Lopez, Mr Ignacio Torres Pena Rodrigo, Mr Jaime Alfonso Cordero Araujo, Mr Jaime Alonso Ponce Ponce, Mr Jaime Lino Ariza Bustos, Mr Jorge Ferdo Navarrete Bueno, Mr Jorge Francisco Bueno Davila, Mr Jorge Humberto Pazmino Ponse, Mr Jorge Ivan Cueva Aguirre, Mr Jorge Luis Roman Troya, Mr Jorge Oswaldo Navarrete Vasconez, Mr Jose Aquilino Vasconez Rivera, Mr Jose Felix Abdon Enrique Guerrero Ponce, Mr Jose Maria Andrango Berrones Segundo, Mr Jose Miguel Zapata Lema, Mr Juan Bernardo Acosta Andrade, Mr Juan Carlos Suarez, Mr Juan Diego Mosquera Pesantes, Mr Juan Ferdo Holguin Samaniego, Mr Juan Jose Hierro Digard, Mr Juan Jose Pons Arizaga, Mr Juan Rodrigo Malo Gonzalez, Mr Julio Eduardo Corral Borrero, Mr Julio Gustavo Riascos Estrada, Mr Kurt Alfredo Freund Ruf, Mr Luis Agustin Plutarco Mora Bowen, Mr Luis Augusto Vergara Jaramillo, Mr Luis Bolivar Rafael Hierro Rosales, Mr Luis Eduardo Moreno Cordero, Mr Luis Gonzalo Ocana Gavilanes, Mr Luis Oswaldo Jacome Zapata, Mr Luis Ramon Castro Jijon, Mr Marco Alfredo Salas Yepez, Mr Marco Vinicio Robayo Zapata, Mr Mario Raul Efrain Mejia Cadena, Mr Mario Rodrigo Cevallos Jacome, Mr Miguel Angel Vazquez Almeida, Mr Miguel Juan Pio Montufar Barba Freile, Mr Moises Jaramillo Jimenez Wilson, Mr Nelly Del Rocio Landivar Carrion, Mr Nora Bertha Del Pilar Dotti Almeida, Mr Pablo Alfonso Burbano De Lara Huras, Mr Patricio Federico Napoleon Leon Meneses, Mr Pedro Her Larenas Vallejo, Mr Pedro Jose Ramon Alvarez Villota, Mr Pedro Marcelo Alvear Icaza, Mr Pedro Pere Cabanas Santiago, Mr Piedad Maria Loor Viteri Rosa, Mr Rafael Alberto Suarez Veintimilla, Mr Rafael Francisco Ernesto Ferna Reyes Uribe, Mr Ramiro Ferri Saona Vicente, Mr Ramon Eduardo Burneo Burneo, Mr Raul Alberto Quevedo Iniguez, Mr Raul Marcelo Ariza Zambrano, Mr Raul Olmedo Loor Gavilanes, Mr Raul Santos De Los Rios Wilson, Mr Segundo Miguel Argudo Argudo, Mr Telmo Ferdo Sosa Galarraga, Mr Thelmo Aurelio Hervas Ordonez, Mr Tomas Marcelo Cordero Araujo, Mr Victor Alonso Ibarra Calero, Mr Victor Humberto Alvarez Ruiz, Mr Victor Manuel Mogollon Ortiz, Mr Villavicencio Samaniego Alejandro Rafael Filoteo, Mr Xavier Borja Alvarez Mauricio, Mrs Aida Carmita Navarrete Bueno, Mrs Ana Judith Suarez De La Torre, Mrs Ana Maria Eguiguren Riofrio, Mrs Antonia Burbano Bowen, Mrs Beatriz Zapata Brito Luz, Mrs Blanca Marieta Flor Lopez, Mrs Cecilia Gabriela Hierro Digard, Mrs Dolores Calisto Cabezas, Mrs Elvia Maria Yolanda Caicedo Guerrero, Mrs Fanny Maria Piedad Jaramillo Avila, Mrs Flor Blanca Fabiola Vasconez, Mrs Graciela Beatriz Eguiguren Burneo, Mrs Hilda Laura Santillan Garcia, Mrs Judith Arguello Gonzales Doralisa, Mrs Julia Delfina Cordero Coronel, Mrs Julia Victoria Chavez Alvarado, Mrs Ligia Maria Marcia Galarraga Alcazar, Mrs Lilian Ofelia Navarrete Bueno, Mrs Lucrecia Nieto Cardona, Mrs Marcia Isabel Eguiguren Velez, Mrs Maria Amparo Sotomayor Burbano, Mrs Maria Carmen Pedraza Llumiquinga, Mrs Maria Cecilia Digard Cordova, Mrs Maria Cristina Landazuri Ayala, Mrs Maria Del Carmen Villavicencio Valdivieso, Mrs Maria Del Pilar Moreno Loor, Mrs Maria Dolores Burbano Bowen, Mrs Maria Dolores Villavicencio Valdiviezo, Mrs Maria Hortencia German, Mrs Maria Teresita Cordero Coronel, Mrs Marina Mina Bastidas Mayis, Mrs Martha Alexandra Canar Rosero, Mrs Martha Cecilia Robayo Zapata, Mrs Martha Cecilia Vinueza Morejon, Mrs Cy Elizabeth Jara Romero, Mrs Cy Martha Cabezas Obando, Mrs Cy Martha Cabezas Obando, Mrs Nelly Teresa Granda Nieto, Mrs Norma Cecilia Pinto Vallejo, Mrs Patricia Alexandra Caicedo Valladares, Mrs Patricia Maria Serrano Ledergerber, Mrs Raquel Hilda Yolanda Herrera Herdez, Mrs Rosa Balbina Cueva Puertas, Mrs Sonia Del Buen Suceso Villavicencio Valdivieso, Mrs Teresa Alvarez Barba, Multigrup International Group, Narvaez Pazmino Fanny Consuelito Del, Pinturas Wesco Sa, Sanchez Gonzalez Ruth Maria De Lourdes, Servicio Integral Para La Industria Alimenticia Sipia S.A., Servigroup De Panama S.A., Srolis Sanchez Winston, Suarez Bucheli Carmen Maria De Las Mercedes, Tecniequipos S.A., Tiltur S.A., Vanderbilt Ecuatoriana Cia Ltda, Villarolcorp S.A., Windale International	PA, EC, EC, EC, EC, EC, EC, EC, EC, BH, PA, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, PA, EC, EC, EC, EC, PA, EC, EC, EC, EC, EC, EC, PA
EC1791739876001	0		
EC0990760799001	0		
EC1790074889001	2	Mr Christian Roberto Hahn Krol, Mr Roberto Carlos Enrique Hahn Klinge, Mrs Elizabeth Gertie Hahn Krol	EC, AR, BR
EC0992725869001	0		
EC1790792323001	2	Mr Jose Alfredo Eguiguren Chiriboga, Mr Jose Luis Fabian Eguiguren Chiriboga, Mr Jose Mateo Eguiguren Orska	EC, EC, EC
EC0990459444001	0		
EC0990442991001	0	Mr Arturo Antonio Aguayo Arguello, Mr Juan Jose Aguayo Arguello, Mrs Teresa Elizabeth Aguayo Arguello	EC, EC, EC
EC53510	0		
EC1792067707001	253	Telefonica International Wholesale Services America, S.A., Telefonica International Wholesale Services Peru Sac	UY, PE
ECFEI1021165	0		
EC20759	0		
EC0991169024001	89	Agencias Universales S.A.	CL
EC1792164583001	0	Mr Carlos Arturo Hidalgo Orozco, Mr Cesar Ramiro Flores Moscoso, Mr Ramiro Baquero Latorre Galo	EC, EC, EC
EC0992530251001	0	Mr Carlos Luis Talbot Arteaga, Mr Fabricio Molestina Bruzzone Omar, Pronipote S.A., Reinoso Cuyo Yolanda Indelira	EC, EC, EC, EC
EC20740	0		
EC0991304436001	2	Osiris Partners Inc.	PA
EC54295	0		
EC1792376882001	0	Calanchini S.A.	EC
EC0590011886001	0	Mr Enrique Corrales Bastidas Edgar, Mr Her Bolivar Corrales Bastidas, Mr Javier Corrales Bastidas Segundo, Mr Rosendo Corrales Bastidas Cristobal, Mrs Bertha Cecilia Corrales Bastidas, Mrs Gloria Angelica Corrales Bastidas, Mrs Maria Avelina Bastidas Herrera, Mrs Rosario Corrales Bastidas	EC, EC, EC, EC, EC, EC, EC, EC
ECFEI1022656	0		
EC0991176713001	3464	Grey Global Group Inc	US
EC0992598182001	13	Corporacion America Sa, Mr Pablo Ezequiel Barrenechea	AR, AR
EC0991360042001	2	Mr Ernesto Carlos Amador Izquierdo, Mrs Karina Ana Maria Peters Marriott	EC, EC
EC0990774404001	0		
EC0990706026001	2	Abp Corp. American Business Promoters ., Profice Enterprises Corp	PA, PK
EC0990372217001	3	Mr Ramon Llado Holguin Santiago	EC
EC0992368055001	0	Mr Alberto Alarcon Mawyin Vicente, Mr Daniel Eduardo Alarcon Mawyin, Mr Javier Alarcon Mawyin Ferdo, Mrs Sylvia Maria Alarcon Mawyin	EC, EC, EC, EC
EC1791140753001	0	Khamis Masso Haifa, Khamis Masso Ramon Nakleh, Khamis Masso Samar, Mr Sami Khamis Masso Khader, Mr Samir Khamis Alam, Mrs Ursula Masso Abussada Nawal	EC, EC, EC, EC, EC, EC
EC0992854030001	0		
EC1791280733001	230	Cmi Compania De Montajes Industriales Sa, Constructora Ing. Anibal Santos E Hijos Sociedad Anonima, Fideicomiso Mercantil En Garantia Santoscmi, Posco Co., Ltd., Posco Engineering & Construction Co., Ltd., Posco Engineering Co.,Ltd.	EC, EC, EC, KR, KR, KR
EC0992588942001	2	Mr Gonzalo Leon Dassum Febres Cordero, White Swan Investment Llc	EC, US
EC20761	0		
EC58413	0		
EC0992335610001	0	Mr Enrique Neder Diaz Xavier, Mrs Mayra Jessenia Moreira Menendez	EC, EC
EC1791807154001	28	Holdco Ecuador S.A., Lan Pax Group S A, Latam Airlines Group S.A., Mr Ricardo Antonio Guerrero Maturana	CL, CL, CL, CL
EC1791413962001	0	Mr Gerardo Herrera Jarrin Ferdo, Mrs Elsa Jael Salgado Yepez, Self Owned	EC, EC
ECFEI1022493	0		
EC0990077185001	0		
EC0990360995001	2	Jismul Investment S.A., Palacios Barzallo Cesar Humberto (Hrdos)	UY, EC
EC0190329178001	2	Malogonzalez Juanbernardo, Muãœãžãœã“Ozurgiles Segundofloresmilo	EC, EC
EC1890007976001	0	Moderna Alimentos S.A., Mr Jaime Eduardo Bueo Caicedo, Mr Javier Bueo Caicedo Otto, Mr Oswaldo Bueo Caicedo Walter, Mr Pablo Mauricio Bueo Caicedo, Mr Victor Hugo Bueo Caicedo, Mr Violeta Del Carmen Caicedo Mier, Mrs Maria Elena Bueo Caicedo, Mrs Monica Del Carmen Bueo Caicedo, Mrs Violeta Alexandra Bueo Caicedo	EC, EC, EC, EC, EC, EC, EC, EC, EC, EC
EC1791302958001	0		
EC0992844248001	0		
ECFEI1021166	0		
EC0991302298001	178	Inversiones San Marcos Limitada, Saam S A	CL, CL
EC20762	0		
EC1792412005001	0		
EC1791736699001	2	Ullauri Paredes Alejandra Del Rocio, Ullauri Paredes Bruno Esteban	EC, EC
EC1791886380001	0	Carrillo Luna Jorge Enrique	CO
EC1792431565001	119	Corporacion Nacional Del Cobre - Codelco	CL
EC17377	2	Mr Arturo Manuel Hidrobo Estrada, Mr Galo Leonidas Pozo Ferdez	
EC58263	0		
ECFEI1021168	2	Anaymar Coromoto Mambel, Mr Omar Jesus Farias Luces	
EC12864	2	Grupo Acp Inversiones Y Desarrollo	PE
EC0992435887001	2	Kozma S.A., Mr Alfredo Alejandro Cuentas Ramos, Mr Olivier Alexander Dumani Ramirez, Mrs Carmen Amanda Salazar Bracco	EC, EC, EC, EC
EC1790007871001	2	Mr Nicolas Alejandro Marcovici Longaver, Mrs Alice Estupi Romo Leroux Mazuca	EC, EC
EC1791253868001	334	Microsoft Corp.	US
EC17398	0		
EC17517	0		
EC1791241738001	0		
EC0992273283001	0	Corporacion Favorita C.A., Fideicomiso De Administraciãœãžãœã•N De Acciones Vudse Ms, Garplus S.A.	EC, EC, UY
EC15851	0		
EC20764	0		
EC0992723769001	0	Mr Luis Garcia Williams Santiago, Williams Williams Mariana Sonia De Jesus	EC, EC
EC0190153185001	2	Fideicomiso Seguros Alfa, Mr Roberto Eduardo Seminario Wright	, EC
EC1790661792001	2	Mr Cesar Fabian Mantilla Cabeza De Vaca, Mrs Monica Tamara Mariana Cabeza De Vaca Bravo	EC, EC
EC1792297133001	0		
EC0992440694001	0		
EC0990560536001	2	Centro Tecnico Albotec S.A., Fideicomiso Mercantil De Acciones Aco, Fideicomiso Mercantil De Acciones Jme, Fideicomiso Mercantil De Administracion Clm-Mms, Fideicomiso Mercantil De Administracion Dcd-Dos, Fideicomiso Mercantil De Administracion Dcd-Uno, Fideicomiso Mercantil De Administracion Glm, Fideicomiso Mercantil De Administracion Melm, Mr Alejandro Andrade Rodriguez Rodrigo, Mr Jose Leopoldo Carrera Drouet, Mr Jose Santiago Castillo Barredo, Promoquil S.A.	EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC
EC0992696176001	0		
EC0992378786001	9	Iberoamericana De Telecomunicaciones Sociedad Limitada, Mr Guillermo Romero Salinas Manuel, Mr Rodolfo Rosero Gallardo Nestor, Mrs Adriana Velasquez Hidalgo Paola	ES, EC, EC, EC
EC1792196809001	0		
EC1790334791001	2	Organizacion Iliniza Sa, Petroleos Summa Pet Compania Anonima	EC, EC
