code	city	company_name	main_activity	operating_revenue	total_assets	revenue_range
EC0990108196001	GUAYAQUIL	TEXTILES SAN ANTONIO SA	Manufacturing	1340	0	600
EC0992139269001	GUAYAQUIL	THERMOCONT S.A.	Wholesale	1884	0	1752
EC1792448395001	QUITO	THOUGHTWORKS SOFTWARE ECUADOR S.A.	Manufacturing	1279	0	600
EC0992408421001	GUAYAQUIL	TOBAMAC S.A.	Services	2516	0	1752
EC1791290119001	QUITO	TOBARZVS C.L.	Wholesale	913	0	600
EC0990025843001	QUITO	TOPSEG COMPANIA DE SEGUROS Y REASEGUROS SA	Services	5251	11280	5118
EC0992541830001	GUAYAQUIL	TORPLAS S.A.	Manufacturing; Wholesale	5181	0	5118
EC1792441420001	QUITO	TORREDEVEL ECUADOR S.A.	Wholesale	638	0	600
EC1792128455001	QUITO	TRANCENTER S.A.	Manufacturing	828	0	600
EC1791857054001	QUITO	TRANSCOMERCIO GUERRA AYALA CIA. LTDA.	Manufacturing	862	0	600
EC0992488964001	GUAYAQUIL	TRANSMAR ECUADOR S.A.	Wholesale	1911	0	1752
EC1791863526001	QUITO	TRANSNEXA S.A. EMA.	Services	12137	0	5118
EC0990082820001	GUAYAQUIL	TRANSOCEANICA C. LTDA	Services	4791	0	1752
EC0991074147001	GUAYAQUIL	TRANSPOINT S.A.	Services	3261	0	1752
EC0992779101001	GUAYAQUIL	TRANSPORTE AGIL DE CARGA ''TRANSEAGLE S.A.''	Wholesale	647	0	600
EC1791231139001	QUITO	TRANSPORTES SANCHEZ POLO DEL ECUADOR C.A.	Wholesale	960	0	600
EC0992623233001	GUAYAQUIL	TRANSTEINER S.A.	Services	1040	0	600
EC1791265483001	QUITO	TRAVELECUADOR CIA. LTDA.	Services	1592	0	600
EC1791715780001	QUITO	TRIPOINT S.A.	Services	1943	0	1752
EC0992469730001	GUAYAQUIL	TUDEDISIN S.A.	Wholesale	627	0	600
EC0990917302001	GUAYAQUIL	TURISMO AMONRA S.A.	Services	2649	6764	1752
EC0990281866001	GUAYAQUIL	TUVAL S.A.	Services	13918	8533	5118
EC0991409440001	GUAYAQUIL	U.V.P. UNIDAD DE VIGILANCIA PRIVADA CIA.LTDA	Wholesale	600	0	600
EC1790236862001	QUITO	UNACEM ECUADOR S.A.	Manufacturing	178091	213011	127579
EC1792174465001	QUITO	UNIARMASOT CIA. LTDA.	Services	1685	0	600
EC20762	AMBATO	UNIFINSA SOCIEDAD FINANCIERA	Services	7953	121568	5118
EC12864	TUNGURAHUA	UNION FINANCIERA CENTRAL SA	Services	7399	121568	5118
ECFEI1021166	QUITO	UNIVERSAL COMPANIA DE REASEGUROS SA	Retail	8228	15284	5118
EC0992423153001	GUAYAQUIL	UNIVERSAL SWEET INDUSTRIES S.A.	Manufacturing	61608	102328	43674
EC1792094593001	QUITO	UNOSYSTEMS S.A.	Services	2760	0	1752
EC0992474394001	GUAYAQUIL	USALEC S.A.	Services	742	0	600
EC0992623411001	GUAYAQUIL	USTINOV S.A.	Services	1757	0	1752
EC0992403020001	SAMBORONDON	VANEGAS & PINOS CONSTRUCCIONES COMPANIA LIMITADA	Manufacturing	896	0	600
EC0190316815001	CUENCA	VAZ SEGUROS SA	Services	13033	19801	5118
EC54089	CUENCA	VAZCORP SOCIEDAD FINANCIERA S.A.	Services	3986	23255	1752
EC0990794650001	GUAYAQUIL	VELASCO Y LUQUE REPRESENTACIONES S.A. ''EVISA''	Wholesale	5447	0	5118
EC0992309652001	GUAYAQUIL	VELEZ & ASOCIADOS S.A. VELASOC	Wholesale	648	0	600
EC1792342112001	TUMBACO	VENTURACAMP ECUADOR S.A.	Manufacturing	696	0	600
EC0990270236001	GUAYAQUIL	VEPAMIL S.A.	Wholesale	129670	23521	127579
EC1791921828001	QUITO	VIAJES GASTON SACAZE S.A.	Wholesale	639	0	600
EC0992524545001	GUAYAQUIL	VIALIACORP S.A	Services	746	0	600
EC1791736699001	QUITO	VIENNATONE S.A.	Services	7702	0	5118
EC1791884078001	QUITO	VILLAGOMEZ OJEDA C.V. CIA. LTDA	Services	3274	0	1752
EC1791898265001	SAN RAFAEL	VINNET COMPANY S.A	Wholesale	943	0	600
EC58263	IBARRA	VISIONFUND ECUADOR	Services	7511	40012	5118
EC1792063175001	QUITO	VIVIRTEC CIA. LTDA.	Wholesale	651	0	600
EC0992584971001	GUAYAQUIL	VIXTICORP S.A.	Manufacturing	1304	0	600
EC1792172993001	QUITO	VLADMAU CONSTRUCCIONES S.A.	Manufacturing; Wholesale	4345	0	1752
EC0992824743001	GUAYAQUIL	VOONDU S.A.	Wholesale	1847	0	1752
EC1792194830001	SANGOLQUI	VOYAGERTRAVEL COMPANY CIA. LTDA.	Wholesale	994	0	600
EC1792211735001	QUITO	WALTHER SERRANO E HIJOS CIA. LTDA.	Manufacturing	1320	0	600
EC1791315278001	QUITO	WARTSILA ECUADOR S.A.	Services	1116	0	600
EC1790105709001	QUITO	WEATHERFORD SOUTH AMERICA GMBH	Manufacturing	5947	0	5118
EC0992791179001	GUAYAQUIL	WEKELCORP S.A.	Services	1065	0	600
EC1790850226001	QUITO	WELDORADO S.A.	Services	3275	0	1752
EC0992525169001	GUAYAQUIL	WORKCOMTI S.A.	Wholesale	3706	0	1752
EC1792493749001	QUITO	WORLDWIDE COLOCACION DE EQUIPOS Y SERVICIOS WEQUIPSERV CIA. LTDA.	Services	5357	0	5118
EC1791730216001	QUITO	XAFEL S.A	Services	2435	0	1752
EC1790007863001	QUITO	XEROX DEL ECUADOR SA	Services	1157	0	600
EC1891744672001	AMBATO	XPTOURS S.A.	Wholesale	926	0	600
EC0992331283001	MANTA	XUK S.A.	Wholesale	1000	0	600
EC1792028140001	SAMBORONDON	YARECUADOR CIA. LTDA.	Wholesale	991	0	600
EC0992833009001	GUAYAQUIL	YOGUPOP C. LTDA.	Services	787	0	600
EC0992459530001	GUAYAQUIL	YUREXCORP S.A.	Services	1146	0	600
EC1792132525001	QUITO	Z&U MED CIA. LTDA.	Services	20230	0	14951
EC1791297385001	QUITO	ZAIMELLA DEL ECUADOR SA	Manufacturing; Wholesale	75141	50665	43674
EC1792369398001	CUMBAYA	ZANELLIPRODUC CIA. LTDA.	Services	723	0	600
EC1790332659001	QUITO	ZOLDAN & ZOLDAN CIA. LTDA.	Services	1702	0	600
